Время;результат;"тип контента";адрес;"исходящих байт";"входящих байт"
"2013-07-05 13:37:39";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0016.jpg;4214;785
"2013-07-05 13:37:39";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0017.jpg;2843;785
"2013-07-05 13:37:39";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0018.jpg;3425;785
"2013-07-05 13:37:39";OK;text/javascript;http://p.adframesrc.com/b.js.php?;517;379
"2013-07-05 13:37:39";OK;text/css;http://p.adframesrc.com/static/css/defaultm.css?;3453;414
"2013-07-05 13:37:40";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0019.jpg;3599;785
"2013-07-05 13:37:40";OK;application/x-javascript;http://connect.facebook.net/ru_RU/all.js;66599;381
"2013-07-05 13:37:40";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-002.jpg;3374;784
"2013-07-05 13:37:40";OK;application/x-javascript;http://c.luxup.ru/t/lb14084.js?;18331;539
"2013-07-05 13:37:40";OK;text/html;http://vitr.alawar.ru/vitr3.0/fishki.net/advert_blocks_264x426.php;4179;466
"2013-07-05 13:37:40";OK;application/x-javascript;http://ah.goodsblock.marketgid.com/p/j/7999/1;1148;442
"2013-07-05 13:37:40";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0020.jpg;3528;785
"2013-07-05 13:37:40";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0021.jpg;4183;785
"2013-07-05 13:37:40";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0022.jpg;3266;785
"2013-07-05 13:37:40";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0023.jpg;3314;785
"2013-07-05 13:37:40";OK;text/javascript;http://p.adframesrc.com/in.php?;9333;466
"2013-07-05 13:37:40";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0024.jpg;2710;785
"2013-07-05 13:37:40";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0025.jpg;2626;785
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0026.jpg;3151;785
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0027.jpg;3792;785
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0028.jpg;3229;785
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0029.jpg;3281;785
"2013-07-05 13:37:41";OK;text/javascript;http://luxup.ru/multishows/9928/?;4851;582
"2013-07-05 13:37:41";"Не изменено";-;http://vitr.alawar.ru/vitr3.0/fishki.net/var/ru/_templates/default_tpl/style_block_264x426.css;344;497
"2013-07-05 13:37:41";OK;application/x-javascript;http://mc.yandex.ru/metrika/watch.js;17849;956
"2013-07-05 13:37:41";OK;text/html;http://www.facebook.com/plugins/like_box.php?;8233;814
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-003.jpg;3018;784
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0030.jpg;3989;785
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0031.jpg;4270;785
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0032.jpg;3596;785
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0033.jpg;2984;785
"2013-07-05 13:37:41";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0034.jpg;3431;785
"2013-07-05 13:37:42";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0035.jpg;4807;785
"2013-07-05 13:37:42";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0036.jpg;4198;785
"2013-07-05 13:37:42";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0037.jpg;3547;785
"2013-07-05 13:37:42";"Удаленно временно";-;http://mc.yandex.ru/watch/14704819?;958;1344
"2013-07-05 13:37:42";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0038.jpg;16436;785
"2013-07-05 13:37:42";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0039.jpg;3527;785
"2013-07-05 13:37:42";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-004.jpg;3305;784
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0041.jpg;4041;785
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0040.jpg;3561;785
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0042.jpg;3586;785
"2013-07-05 13:37:43";OK;text/javascript;http://mc.yandex.ru/watch/14704819/1?;561;1376
"2013-07-05 13:37:43";OK;application/x-javascript;http://static.ak.fbcdn.net/rsrc.php/v2/ym/r/dc_kGKX7zoR.js;46512;739
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0043.jpg;3824;785
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0044.jpg;2750;785
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0045.jpg;3346;785
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0046.jpg;4013;785
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0047.jpg;4310;785
"2013-07-05 13:37:43";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0048.jpg;3470;785
"2013-07-05 13:37:44";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0049.jpg;4393;785
"2013-07-05 13:37:44";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-005.jpg;3853;784
"2013-07-05 13:37:44";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0050.jpg;3192;785
"2013-07-05 13:37:44";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0051.jpg;4007;785
"2013-07-05 13:37:44";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0052.jpg;3800;785
"2013-07-05 13:37:44";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0053.jpg;3923;785
"2013-07-05 13:37:44";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0054.jpg;20730;785
"2013-07-05 13:37:44";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-0055.jpg;2602;785
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-006.jpg;3457;784
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-007.jpg;2763;784
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-008.jpg;2550;784
